MANDT,PLANT,TYPE,REASON,
300,1116,U,FAULT MESSAGE,
300,1101,S,MODIFICATION,
300,1101,U,HIGH OIL TEMP,
175,1101,S,INSPECT,
175,1101,U,OIL LEAK,
300,3101,U,FAULT MESSAGE,
300,1101,S,EMBODY SERVICE BULLETIN,
300,1116,U,REPAIR,
200,1116,U,FUEL IN OIL,
175,1116,U,FAULT MESSAGE,
175,1101,S,MODIFICATION,
175,1101,U,HIGH OIL TEMP,
300,3101,U,REPAIR,
300,1116,S,OVERHAUL,
175,3101,U,FAULT MESSAGE,
200,1116,S,RECERTIFICATION,
300,1101,S,FOR CLEANING,
300,1101,S,UPGRADE,
175,1101,S,EMBODY SERVICE BULLETIN,
175,1116,U,REPAIR,
300,3101,S,OVERHAUL,
300,1116,S,RECERTIFY,
300,1116,U,FAILS SELF TEST,
300,1116,U,LOW OIL PRESSURE,
175,3101,U,REPAIR,
300,1101,U,FUEL LEAK,
200,1116,U,REPAIR,
175,1116,S,OVERHAUL,
175,1101,S,FOR CLEANING,
300,3101,S,RECERTIFY,
175,1101,S,UPGRADE,
300,3101,U,FAILS SELF TEST,
300,3101,U,LOW OIL PRESSURE,
300,1116,S,INSPECT,
175,3101,S,OVERHAUL,
300,1116,U,OIL LEAK,
175,1116,S,RECERTIFY,
200,1116,U,FAULT MESSAGE,
175,1116,U,FAILS SELF TEST,
175,1116,U,LOW OIL PRESSURE,
300,3101,S,INSPECT,
175,1101,U,FUEL LEAK,
300,3101,U,OIL LEAK,
175,3101,S,RECERTIFY,
300,1116,S,MODIFICATION,
175,3101,U,FAILS SELF TEST,
300,1116,U,HIGH OIL TEMP,
175,3101,U,LOW OIL PRESSURE,
175,1116,S,INSPECT,
200,1116,S,OVERHAUL,
300,1101,S,TIME UP,
300,1101,U,INOPERATIVE,
175,1116,U,OIL LEAK,
300,3101,S,MODIFICATION,
300,3101,U,HIGH OIL TEMP,
175,3101,S,INSPECT,
300,1116,S,EMBODY SERVICE BULLETIN,
175,3101,U,OIL LEAK,
200,1116,U,LOW OIL PRESSURE,
300,1101,U,FUEL IN OIL,
175,1116,S,MODIFICATION,
175,1116,U,HIGH OIL TEMP,
300,3101,S,EMBODY SERVICE BULLETIN,
175,1101,S,TIME UP,
175,1101,U,INOPERATIVE,
300,1116,S,FOR CLEANING,
175,3101,S,MODIFICATION,
175,3101,U,HIGH OIL TEMP,
300,1116,S,UPGRADE,
175,1116,S,EMBODY SERVICE BULLETIN,
200,1116,U,FAILS SELF TEST,
175,1101,U,FUEL IN OIL,
300,3101,S,FOR CLEANING,
300,3101,S,UPGRADE,
175,3101,S,EMBODY SERVICE BULLETIN,
300,1116,U,FUEL LEAK,
200,1116,S,MODIFICATION,
175,1116,S,FOR CLEANING,
175,1116,S,UPGRADE,
300,3101,U,FUEL LEAK,
175,3101,S,FOR CLEANING,
175,3101,S,UPGRADE,
200,1116,U,LEAKING,
300,1101,U,FAULT MESSAGE,
175,1116,U,FUEL LEAK,
175,3101,U,FUEL LEAK,
300,1116,S,TIME UP,
300,1116,U,INOPERATIVE,
200,1116,S,UPGRADE,
200,1116,U,FADEC SYSTEM FAULT,
300,1101,U,REPAIR,
175,1101,U,FAULT MESSAGE,
300,3101,S,TIME UP,
300,3101,U,INOPERATIVE,
300,1116,U,FUEL IN OIL,
200,1116,S,FOR CLEANING,
300,1101,S,OVERHAUL,
175,1116,S,TIME UP,
175,1116,U,INOPERATIVE,
175,1101,U,REPAIR,
300,3101,U,FUEL IN OIL,
175,3101,S,TIME UP,
300,1101,S,RECERTIFY,
175,3101,U,INOPERATIVE,
200,1116,U,INOPERATIVE,
300,1101,U,FAILS SELF TEST,
300,1101,U,LOW OIL PRESSURE,
175,1116,U,FUEL IN OIL,
175,1101,S,OVERHAUL,
300,1101,S,INSPECT,
175,3101,U,FUEL IN OIL,
200,1116,S,TIME UP,
300,1101,U,OIL LEAK,
175,1101,S,RECERTIFY,
175,1101,U,FAILS SELF TEST,
175,1101,U,LOW OIL PRESSURE,